product_id,sku,artist,title,format,genre,condition,cost,price,release_year
P0135,WGB-95918,Sister Nancy,Sister Nights,LP,Reggae,New,11.95,18.06,1984.0
P0296,WGB-85582,Pink Floyd,Anthology,CD,Rock,New,7.49,10.05,2013.0
P0044,WGB-32241,Nas,Basement Tapes,CD,Hip-Hop,New,11.27,16.95,2015.0
P0156,WGB-10205,My Bloody Valentine,Coastline,LP,Alternative,New,21.22,33.24,1989.0
P0010,WGB-16175,Al Green,Afterhours,LP,Soul/Funk,New,17.66,26.25,1976.0
P0060,WGB-87607,Pink Floyd,Afterhours,CD,Rock,Used,7.35,16.29,2009.0
P0256,WGB-11382,Four Tet,Four Grooves,CD,Electronic,New,13.98,20.62,2001.0
P0037,WGB-71694,Wu-Tang Clan,Blueprint,LP,Hip-Hop,Used,7.21,16.2,1972.0
P0116,WGB-96363,Pantera,Afterhours,LP,metal,New,21.36,38.74,1964.0
P0141,WGB-63578,Alice Coltrane,The Early Years,LP,jazz,Used,7.1,18.03,2005.0
P0090,WGB-60196,Juan Luis Guerra,In Dub,LP,Latin,New,25.67,39.67,1983.0
P0114,WGB-11947,Radiohead,Nights,LP,Alternative,Used,10.27,22.91,1973.0
P0102,WGB-94717,  Herbie Hancock ,Herbie Blueprint,CD,jazz,Used,5.45,16.27,1976.0
P0179,WGB-92203,Gregory Isaacs,Horizons,CD,Reggae,Used,5.39,10.96,2012.0
P0027,,Four Tet,Vol. II,LP,Electronic,Used,6.48,16.28,2025.0
P0097,WGB-60140,A Tribe Called Quest,Interstellar,LP,Hip-Hop,Used,4.87,11.18,1982.0
